"","28",\N,"Alugada","3","Outros","8000","E","16.35",\N,"Não","5","Sim"
"",\N,"35100","Alugada","1","Outros","8000","E","16.35",\N,"Não","5","Sim"
"","28",\N,"Alugada","3","Melhora do lar","12000","","6.03","0.08","Não",\N,"Não"
"","25","125000","Hipotecada","5","Melhora do lar","12000","","6.03","0.08","Não",\N,"Não"
"","32","85000","Hipotecada","3","Melhora do lar","12000","","6.03","0.08","Não",\N,"Não"
"",\N,"35100","Alugada","1","Melhora do lar","12000","","6.03","0.08","Não",\N,"Não"
"",\N,"35100","Alugada","1","Educativo","3500","A","16.07","0.28","Sim","6",\N
"","28",\N,"Alugada","3","Educativo","3500","A","16.07","0.28","Sim","6",\N
"","32","85000","Hipotecada","3","Educativo","3500","A","16.07","0.28","Sim","6",\N
"","25","125000","Hipotecada","5","Educativo","3500","A","16.07","0.28","Sim","6",\N
"","32","85000","Hipotecada","3","Melhora do lar","15000","B",\N,"0.14","Não","3","Não"
"","25","125000","Hipotecada","5","Outros","8000","E","16.35",\N,"Não","5","Sim"
"","28",\N,"Alugada","3","Melhora do lar","15000","B",\N,"0.14","Não","3","Não"
"","25","125000","Hipotecada","5","Melhora do lar","15000","B",\N,"0.14","Não","3","Não"
"",\N,"35100","Alugada","1","Melhora do lar","15000","B",\N,"0.14","Não","3","Não"
"","32","85000","Hipotecada","3","Outros","8000","E","16.35",\N,"Não","5","Sim"
"004wNQ39-TsQu","33","42000","Alugada","4","Médico","3600","C","12.68","0.09","Não","5","Sim"
"007o7Z4z-DX1c","24","113000","Hipotecada","5","Educativo","17950","B","11.99","0.16","Não","4","Não"
"00EDIedo-fzDW","25","24000","Alugada","9","Pessoal","9600","B","11.71","0.4","Sim","3","Não"
"00LFrMaL-Ccoj","22","54000","Hipotecada","0","Melhora do lar","16000","A","7.51","0.3","Sim","2","Não"
"00rBUN8G-vwsQ","28","70834","Hipotecada","4","Pessoal","20000","B","12.21","0.28","Não","9","Não"
"00wdJpfB-mPF8","26","95000","Hipotecada","0","Educativo","20000","D","14.96","0.21","Não","3","Não"
"00XP05XD-58XF","33","63996","Alugada","4","Educativo","3200","B","10.74","0.05","Não","9","Não"
"00Y5LziG-DHyP","25","120000","Hipotecada","2","Pessoal","10000","F","20.99","0.08","Não","4","Não"
"01aOoe5m-MKqu","27","24000","Alugada","0","Pagamento de débitos","4000","C","12.87","0.17","Não","10","Não"
"01HXOA6T-KHCq","35","154000","Própria","13","Empreendimento","12000","A","6.92","0.08","Não","5","Não"
"01Ih63oD-gO7p","24","75000","Alugada","6","Pessoal","15000","B","11.71","0.2","Não","4","Não"
"01iZxwFE-iy3b","37","91800","Hipotecada","0","Médico","5000","F","19.47","0.05","Sim","16","Sim"
"01lFJ6f4-Sb2E","28","51200","Alugada","12","Pagamento de débitos","12000","B",\N,"0.23","Sim","7","Não"
"01mYIc8o-5SsX","22","45000","Alugada","3","Empreendimento","5000","B","12.42","0.11","Não","2","Não"
"01nbSq5W-xWRq","25","125000","Própria","9","Pessoal","25000","B","10.59","0.2","Não","2","Não"
"01nEy4JW-iaX4","23","13000","Alugada","0","Pessoal","2400","E","16.82","0.18","Sim","3","Não"
"01qJj2YZ-ZoWg","24","36000","Hipotecada","8","Empreendimento","3250","A","6.39","0.09","Não","2","Não"
"01WXNice-DkYD","28","48000","Alugada","0","Educativo","10000","B","10.08","0.21","Não","6","Não"
"01YXG5Wu-6eUO","26","155000","Alugada","7","Pagamento de débitos","24000","B","10.99","0.15","Não","4","Não"
"022H99io-vYlK","28","108000","Hipotecada","4","Pagamento de débitos","10000","B","10.74","0.09","Não","6","Não"
"0292naTF-ucWE","23","33990","Hipotecada","2","Pagamento de débitos","1000","C","10.59","0.03","Sim","2","Não"
"02ae22kn-MSCI","31","258000","Hipotecada","3","Pessoal","28000","A","5.99","0.11","Não","5","Não"
"02aIcg9C-B3SN","21","27568","Outros","0","Médico","3500","D","14.42","0.13","Sim","4","Não"
"02gjGL3N-jyLr","31","30000","Alugada","5","Pessoal","6000","C","13.23","0.2","Não","5","Não"
"02j1FUBX-fqaB","23","46450","Hipotecada","6","Educativo","10000","A","5.42","0.22","Não","2","Não"
"02jNTJ7X-suRW","30","22584","Própria",\N,"Médico","5000","A","7.51","0.22","Não","10","Não"
"02oqli6L-36Ti","43","39996","Alugada","1","Pessoal","4000","B","10.99","0.1","Não","11","Não"
"02PcyCJa-RwiI","22","60000","Hipotecada","1","Médico","10000","A","7.9","0.17","Não","4","Não"
"02PK093A-vWqM","22","62050","Hipotecada","1","Médico","2000","C","13.35","0.03","Sim","4","Sim"
"02PzytOC-bKre","27","69996","Alugada","1","Pessoal","6000","B","11.86","0.09","Não","6","Não"
"02qiwR1J-N5X4","27","65000","Hipotecada","11","Empreendimento","8000","A","7.49","0.12","Não","8","Não"
"02qP5zly-yefK","22","63000","Hipotecada","2","Médico","8400","C","12.73","0.13","Não","4","Sim"
"02UvYi3H-5O2O","22","25440","Alugada","6","Educativo","4000","A","5.42","0.16","Não","4","Não"
"02X0IPRI-Z8To","27","31200","Alugada","2","Pessoal","6000","A","6.62","0.19","Sim","10","Não"
"02x9biGh-3gTR","23","68000","Alugada","1","Empreendimento","14400","E","17.99","0.21","Sim","2","Não"
"02Xp1CEj-L5No","27","70000","Hipotecada","11","Pagamento de débitos","25000","A","7.66","0.36","Não","5","Não"
"035BR3xf-elRK","22","26000","Própria","2","Educativo","7100","A","7.49","0.27","Não","2","Não"
